type,name,res_id,src,value,fuzzy
field,"bank.account,bank",0,Bank,Bank,0
field,"bank.account,bank_code",0,National Code,Bankleitzahl,0
field,"bank.account,bic",0,BIC/SWIFT,BIC/SWIFT,0
field,"bank.account,code",0,Account Number,Kontonummer,0
field,"bank.account,currency",0,Currency,Währung,0
field,"bank.account,full_name",0,Name,Name,0
field,"bank.account,iban",0,IBAN,IBAN,0
field,"bank.account,owner",0,Differing Owner,Abweichender Kontoinhaber,0
field,"bank.account,party",0,Party,Partei,0
field,"bank.bank,bank_code",0,National Code,Bankleitzahl,0
field,"bank.bank,bic",0,BIC/SWIFT,BIC/SWIFT,0
field,"bank.bank,party",0,Party,Partei,0
field,"party.party,bank_accounts",0,Bank Accounts,Bankkonten,0
help,"bank.account,code",0,National Standard Code,Bankleitzahl,0
model,"bank.account,name",0,Bank Account,Bankkonto,0
model,"bank.bank,name",0,Bank,Bank,0
model,"ir.action,name",act_bank_view,Banks,Banken,0
model,"ir.action,name",act_bank_view2,New Bank,Neue Bank,0
model,"ir.ui.menu,name",menu_bank_view,Banks,Banken,0
model,"ir.ui.menu,name",menu_bank_view2,New Bank,Neue Bank,0
view,bank.account,0,Bank Account,Bankkonto,0
view,bank.account,0,Bank Accounts,Bankkonten,0
view,bank.bank,0,Bank,Bank,0
view,bank.bank,0,Banks,Banken,0
view,party.party,0,Bank Accounts,Bankkonten,0
